INDEX;ORT;RICHTUNG;BETRAG;MONAT
2559;Lausanne;Eingang;72465;12
2560;Chur;Ausgang;66459;5
2561;Sion;Eingang;8886;7
2562;St. Gallen;Ausgang;22989;6
2563;Bern;Eingang;35993;4
2564;Zürich;Ausgang;25480;6
2565;Basel;Eingang;66992;4
2566;Lausanne;Ausgang;8885;4
2567;Chur;Eingang;50994;5
2568;Sion;Ausgang;60719;11
2569;St. Gallen;Eingang;58064;1
2570;Bern;Ausgang;49785;4
2571;Zürich;Eingang;76829;8
2572;Basel;Ausgang;67898;9
2573;Lausanne;Eingang;9597;7
2574;Chur;Ausgang;74920;5
2575;Sion;Eingang;949;7
2576;St. Gallen;Ausgang;45581;2
2577;Bern;Eingang;38929;2
2578;Zürich;Ausgang;48670;1
2579;Basel;Eingang;11729;3
2580;Lausanne;Ausgang;30994;3
2581;Chur;Eingang;36691;2
2582;Sion;Ausgang;73063;1
2583;St. Gallen;Eingang;7226;10
2584;Bern;Ausgang;30260;7
2585;Zürich;Eingang;24825;10
2586;Basel;Ausgang;63130;7
2587;Lausanne;Eingang;30096;10
2588;Chur;Ausgang;22730;12
2589;Sion;Eingang;2601;8
2590;St. Gallen;Ausgang;23442;8
2591;Bern;Eingang;44032;1
2592;Zürich;Ausgang;61878;8
2593;Basel;Eingang;49160;11
2594;Lausanne;Ausgang;45647;8
2595;Chur;Eingang;15398;6
2596;Sion;Ausgang;27858;7
2597;St. Gallen;Eingang;4723;1
2598;Bern;Ausgang;62937;8
2599;Zürich;Eingang;9344;11
2600;Basel;Ausgang;44883;5
2601;Lausanne;Eingang;14875;9
2602;Chur;Ausgang;33089;4
2603;Sion;Eingang;44642;12
2604;St. Gallen;Ausgang;15569;9
2605;Bern;Eingang;73697;5
2606;Zürich;Ausgang;10686;12
2607;Basel;Eingang;67156;8
2608;Lausanne;Ausgang;22604;10
2609;Chur;Eingang;54988;10
2610;Sion;Ausgang;67826;11
2611;St. Gallen;Eingang;48989;6
2612;Bern;Ausgang;11662;8
2613;Zürich;Eingang;4658;11
2614;Basel;Ausgang;3749;5
2615;Lausanne;Eingang;30465;10
2616;Chur;Ausgang;68846;9
2617;Sion;Eingang;23994;6
2618;St. Gallen;Ausgang;74595;12
2619;Bern;Eingang;20358;2
2620;Zürich;Ausgang;36041;6
2621;Basel;Eingang;16059;6
2622;Lausanne;Ausgang;19636;6
2623;Chur;Eingang;19324;1
2624;Sion;Ausgang;25372;10
2625;St. Gallen;Eingang;51438;6
2626;Bern;Ausgang;14309;7
2627;Zürich;Eingang;8336;4
2628;Basel;Ausgang;57468;6
2629;Lausanne;Eingang;26959;6
2630;Chur;Ausgang;46455;1
2631;Sion;Eingang;69418;6
2632;St. Gallen;Ausgang;22783;11
2633;Bern;Eingang;71021;6
2634;Zürich;Ausgang;58582;3
2635;Basel;Eingang;33659;3
2636;Lausanne;Ausgang;61847;7
2637;Chur;Eingang;29920;1
2638;Sion;Ausgang;54876;5
2639;St. Gallen;Eingang;28232;7
2640;Bern;Ausgang;36725;12
2641;Zürich;Eingang;37845;1
2642;Basel;Ausgang;52455;7
2643;Lausanne;Eingang;71579;5
2644;Chur;Ausgang;4223;5
2645;Sion;Eingang;53543;3
2646;St. Gallen;Ausgang;37396;2
2647;Bern;Eingang;36415;10
2648;Zürich;Ausgang;9497;7
2649;Basel;Eingang;15479;3
2650;Lausanne;Ausgang;41018;1
2651;Chur;Eingang;11614;6
2652;Sion;Ausgang;21644;8
2653;St. Gallen;Eingang;27718;6
2654;Bern;Ausgang;23771;7
2655;Zürich;Eingang;11879;11
2656;Basel;Ausgang;69722;2
2657;Lausanne;Eingang;53407;11
2658;Chur;Ausgang;68495;1
2659;Sion;Eingang;32930;9
2660;St. Gallen;Ausgang;998;5
2661;Bern;Eingang;23610;2
2662;Zürich;Ausgang;39198;12
2663;Basel;Eingang;30461;7
2664;Lausanne;Ausgang;61982;11
2665;Chur;Eingang;1140;6
2666;Sion;Ausgang;49333;3
2667;St. Gallen;Eingang;42760;3
2668;Bern;Ausgang;77040;2
2669;Zürich;Eingang;27341;6
2670;Basel;Ausgang;44601;12
2671;Lausanne;Eingang;77057;1
2672;Chur;Ausgang;19656;9
2673;Sion;Eingang;18460;11
2674;St. Gallen;Ausgang;15777;2
2675;Bern;Eingang;53304;3
2676;Zürich;Ausgang;48022;5
2677;Basel;Eingang;47377;5
2678;Lausanne;Ausgang;12219;12
2679;Chur;Eingang;67637;8
2680;Sion;Ausgang;16232;5
2681;St. Gallen;Eingang;7683;10
2682;Bern;Ausgang;74851;9
2683;Zürich;Eingang;17756;5
2684;Basel;Ausgang;76543;6
2685;Lausanne;Eingang;32771;1
2686;Chur;Ausgang;45730;12
2687;Sion;Eingang;58376;2
2688;St. Gallen;Ausgang;12059;9
2689;Bern;Eingang;44257;7
2690;Zürich;Ausgang;76320;5
2691;Basel;Eingang;75002;2
2692;Lausanne;Ausgang;36990;7
2693;Chur;Eingang;38698;8
2694;Sion;Ausgang;5805;9
2695;St. Gallen;Eingang;55906;11
2696;Bern;Ausgang;52205;8
2697;Zürich;Eingang;22040;12
2698;Basel;Ausgang;60948;5
2699;Lausanne;Eingang;77430;10
2700;Chur;Ausgang;44320;11
2701;Sion;Eingang;28192;1
2702;St. Gallen;Ausgang;51037;1
2703;Bern;Eingang;66887;1
2704;Zürich;Ausgang;31184;2
2705;Basel;Eingang;69638;5
2706;Lausanne;Ausgang;4127;2
2707;Chur;Eingang;72870;7
2708;Sion;Ausgang;30918;2
2709;St. Gallen;Eingang;75389;6
2710;Bern;Ausgang;43513;6
2711;Zürich;Eingang;50675;3
2712;Basel;Ausgang;26309;12
2713;Lausanne;Eingang;62818;12
2714;Chur;Ausgang;25233;11
2715;Sion;Eingang;24235;8
2716;St. Gallen;Ausgang;58298;8
2717;Bern;Eingang;76796;8
2718;Zürich;Ausgang;51156;1
2719;Basel;Eingang;29052;8
2720;Lausanne;Ausgang;24147;2
2721;Chur;Eingang;20005;10
2722;Sion;Ausgang;24643;2
2723;St. Gallen;Eingang;68907;10
2724;Bern;Ausgang;3709;6
2725;Zürich;Eingang;64368;4
2726;Basel;Ausgang;39900;7
2727;Lausanne;Eingang;9456;12
2728;Chur;Ausgang;35754;9
2729;Sion;Eingang;61428;9
2730;St. Gallen;Ausgang;76103;3
2731;Bern;Eingang;68303;12
2732;Zürich;Ausgang;27094;9
2733;Basel;Eingang;75968;6
2734;Lausanne;Ausgang;65273;2
2735;Chur;Eingang;14644;12
2736;Sion;Ausgang;38496;9
2737;St. Gallen;Eingang;6900;3
2738;Bern;Ausgang;44786;12
2739;Zürich;Eingang;18387;1
2740;Basel;Ausgang;26555;7
2741;Lausanne;Eingang;35274;8
2742;Chur;Ausgang;33580;10
2743;Sion;Eingang;22095;4
2744;St. Gallen;Ausgang;59941;8
2745;Bern;Eingang;64006;10
2746;Zürich;Ausgang;56106;4
2747;Basel;Eingang;9234;2
2748;Lausanne;Ausgang;27926;7
2749;Chur;Eingang;5169;7
2750;Sion;Ausgang;73931;11
2751;St. Gallen;Eingang;73075;5
2752;Bern;Ausgang;69012;7
2753;Zürich;Eingang;15925;4
2754;Basel;Ausgang;40214;7
2755;Lausanne;Eingang;23022;11
2756;Chur;Ausgang;67761;12
2757;Sion;Eingang;31921;12
2758;St. Gallen;Ausgang;32857;12
2759;Bern;Eingang;9983;12
2760;Zürich;Ausgang;76828;11
2761;Basel;Eingang;43537;9
2762;Lausanne;Ausgang;60669;9
2763;Chur;Eingang;68825;2
2764;Sion;Ausgang;53214;2
2765;St. Gallen;Eingang;9804;9
2766;Bern;Ausgang;13245;11
2767;Zürich;Eingang;510;1
2768;Basel;Ausgang;43374;8
2769;Lausanne;Eingang;5919;11
2770;Chur;Ausgang;63549;9
2771;Sion;Eingang;41700;9
2772;St. Gallen;Ausgang;24883;7
2773;Bern;Eingang;36456;4
2774;Zürich;Ausgang;23288;3
2775;Basel;Eingang;45395;3
2776;Lausanne;Ausgang;69958;8
2777;Chur;Eingang;33736;10
2778;Sion;Ausgang;62752;10
2779;St. Gallen;Eingang;20778;7
2780;Bern;Ausgang;52495;10
2781;Zürich;Eingang;45749;10
2782;Basel;Ausgang;72542;5
2783;Lausanne;Eingang;25303;8
2784;Chur;Ausgang;42263;7
2785;Sion;Eingang;8721;2
2786;St. Gallen;Ausgang;60146;1
2787;Bern;Eingang;76155;2
2788;Zürich;Ausgang;41788;4
2789;Basel;Eingang;35065;4
2790;Lausanne;Ausgang;39331;9
2791;Chur;Eingang;22804;9
2792;Sion;Ausgang;61678;10
2793;St. Gallen;Eingang;4891;6
2794;Bern;Ausgang;54851;1
2795;Zürich;Eingang;73483;10
2796;Basel;Ausgang;44201;5
2797;Lausanne;Eingang;15223;4
2798;Chur;Ausgang;11618;7
2799;Sion;Eingang;70605;12
2800;St. Gallen;Ausgang;33315;7
2801;Bern;Eingang;74301;2
2802;Zürich;Ausgang;41324;12
2803;Basel;Eingang;40489;6
2804;Lausanne;Ausgang;28139;9
2805;Chur;Eingang;48383;7
2806;Sion;Ausgang;9754;7
2807;St. Gallen;Eingang;42547;11
2808;Bern;Ausgang;33347;2
2809;Zürich;Eingang;12911;9
2810;Basel;Ausgang;466;7
2811;Lausanne;Eingang;49847;3
2812;Chur;Ausgang;30966;1
2813;Sion;Eingang;51322;3
2814;St. Gallen;Ausgang;65983;5
2815;Bern;Eingang;13644;3
2816;Zürich;Ausgang;45238;11
2817;Basel;Eingang;68268;10
2818;Lausanne;Ausgang;49432;8
2819;Chur;Eingang;54940;1
2820;Sion;Ausgang;33048;4
2821;St. Gallen;Eingang;74849;5
2822;Bern;Ausgang;30130;11
2823;Zürich;Eingang;71080;3
2824;Basel;Ausgang;72621;6
2825;Lausanne;Eingang;18513;1
2826;Chur;Ausgang;36912;4
2827;Sion;Eingang;52606;8
2828;St. Gallen;Ausgang;5337;2
2829;Bern;Eingang;774;10
2830;Zürich;Ausgang;62352;7
2831;Basel;Eingang;772;10
2832;Lausanne;Ausgang;48370;7
2833;Chur;Eingang;24441;6
2834;Sion;Ausgang;45053;5
2835;St. Gallen;Eingang;14044;4
2836;Bern;Ausgang;15211;3
2837;Zürich;Eingang;37043;11
2838;Basel;Ausgang;29868;8
2839;Lausanne;Eingang;50272;2
2840;Chur;Ausgang;36994;7
2841;Sion;Eingang;6683;3
2842;St. Gallen;Ausgang;14168;1
2843;Bern;Eingang;33065;1
2844;Zürich;Ausgang;18279;7
2845;Basel;Eingang;19904;1
2846;Lausanne;Ausgang;30089;12
2847;Chur;Eingang;60171;3
2848;Sion;Ausgang;8312;4
2849;St. Gallen;Eingang;22675;2
2850;Bern;Ausgang;59803;1
2851;Zürich;Eingang;28281;2
2852;Basel;Ausgang;68341;9
2853;Lausanne;Eingang;5741;5
2854;Chur;Ausgang;77498;3
2855;Sion;Eingang;64026;1
2856;St. Gallen;Ausgang;43127;2
2857;Bern;Eingang;63159;6
2858;Zürich;Ausgang;68373;7
2859;Basel;Eingang;48605;6
2860;Lausanne;Ausgang;57099;1
2861;Chur;Eingang;18169;12
2862;Sion;Ausgang;68566;9
2863;St. Gallen;Eingang;61478;7
2864;Bern;Ausgang;16137;5
2865;Zürich;Eingang;77093;5
2866;Basel;Ausgang;21999;11
2867;Lausanne;Eingang;75986;5
2868;Chur;Ausgang;27915;6
2869;Sion;Eingang;11645;4
2870;St. Gallen;Ausgang;9899;10
2871;Bern;Eingang;42603;11
2872;Zürich;Ausgang;55342;3
2873;Basel;Eingang;11059;9
2874;Lausanne;Ausgang;57775;8
2875;Chur;Eingang;2264;9
2876;Sion;Ausgang;49938;2
2877;St. Gallen;Eingang;31596;6
2878;Bern;Ausgang;21265;8
2879;Zürich;Eingang;65101;3
2880;Basel;Ausgang;16038;1
2881;Lausanne;Eingang;68699;8
2882;Chur;Ausgang;32582;3
2883;Sion;Eingang;45673;3
2884;St. Gallen;Ausgang;13116;1
2885;Bern;Eingang;37722;11
2886;Zürich;Ausgang;36749;4
2887;Basel;Eingang;72079;5
2888;Lausanne;Ausgang;71206;6
2889;Chur;Eingang;75534;12
2890;Sion;Ausgang;53527;6
2891;St. Gallen;Eingang;23488;2
2892;Bern;Ausgang;28788;12
2893;Zürich;Eingang;67811;5
2894;Basel;Ausgang;47337;12
2895;Lausanne;Eingang;23889;7
2896;Chur;Ausgang;42218;7
2897;Sion;Eingang;14167;4
2898;St. Gallen;Ausgang;16467;3
2899;Bern;Eingang;915;8
2900;Zürich;Ausgang;5895;10
2901;Basel;Eingang;30072;12
2902;Lausanne;Ausgang;32677;6
2903;Chur;Eingang;29909;10
2904;Sion;Ausgang;54615;10
2905;St. Gallen;Eingang;16640;5
2906;Bern;Ausgang;60509;11
2907;Zürich;Eingang;61053;9
2908;Basel;Ausgang;48175;12
2909;Lausanne;Eingang;57525;10
2910;Chur;Ausgang;6103;2
2911;Sion;Eingang;48062;6
2912;St. Gallen;Ausgang;45222;5
2913;Bern;Eingang;25923;6
2914;Zürich;Ausgang;41011;9
2915;Basel;Eingang;19864;1
2916;Lausanne;Ausgang;68165;12
2917;Chur;Eingang;3789;8
2918;Sion;Ausgang;4668;10
2919;St. Gallen;Eingang;44828;10
2920;Bern;Ausgang;9122;8
2921;Zürich;Eingang;59711;1
2922;Basel;Ausgang;42617;7
2923;Lausanne;Eingang;51557;10
2924;Chur;Ausgang;75269;8
2925;Sion;Eingang;34952;1
2926;St. Gallen;Ausgang;35665;6
2927;Bern;Eingang;63793;1
2928;Zürich;Ausgang;36171;11
2929;Basel;Eingang;68913;12
2930;Lausanne;Ausgang;61754;1
2931;Chur;Eingang;7735;4
2932;Sion;Ausgang;39893;8
2933;St. Gallen;Eingang;64224;4
2934;Bern;Ausgang;44476;1
2935;Zürich;Eingang;50135;4
2936;Basel;Ausgang;30066;11
2937;Lausanne;Eingang;2711;7
2938;Chur;Ausgang;29774;11
2939;Sion;Eingang;48127;5
2940;St. Gallen;Ausgang;9990;7
2941;Bern;Eingang;25028;10
2942;Zürich;Ausgang;69480;5
2943;Basel;Eingang;66337;6
2944;Lausanne;Ausgang;17988;7
2945;Chur;Eingang;52102;8
2946;Sion;Ausgang;10863;6
2947;St. Gallen;Eingang;25563;3
2948;Bern;Ausgang;28031;5
2949;Zürich;Eingang;75024;12
2950;Basel;Ausgang;76123;1
2951;Lausanne;Eingang;62623;4
2952;Chur;Ausgang;41034;5
2953;Sion;Eingang;18360;11
2954;St. Gallen;Ausgang;35812;4
2955;Bern;Eingang;40990;1
2956;Zürich;Ausgang;17991;4
2957;Basel;Eingang;14440;8
2958;Lausanne;Ausgang;3620;10
2959;Chur;Eingang;40443;12
2960;Sion;Ausgang;7371;10
2961;St. Gallen;Eingang;44405;7
2962;Bern;Ausgang;59289;3
2963;Zürich;Eingang;74083;6
2964;Basel;Ausgang;65501;8
2965;Lausanne;Eingang;48769;7
2966;Chur;Ausgang;44009;7
2967;Sion;Eingang;44301;6
2968;St. Gallen;Ausgang;8394;6
2969;Bern;Eingang;51317;6
2970;Zürich;Ausgang;18108;11
2971;Basel;Eingang;14102;8
2972;Lausanne;Ausgang;58908;6
2973;Chur;Eingang;19765;12
2974;Sion;Ausgang;5621;8
2975;St. Gallen;Eingang;15748;6
2976;Bern;Ausgang;48112;8
2977;Zürich;Eingang;40430;10
2978;Basel;Ausgang;71687;6
2979;Lausanne;Eingang;32365;3
2980;Chur;Ausgang;61624;3
2981;Sion;Eingang;67940;5
2982;St. Gallen;Ausgang;10558;11
2983;Bern;Eingang;41101;5
2984;Zürich;Ausgang;2343;9
2985;Basel;Eingang;63429;6
2986;Lausanne;Ausgang;7826;2
2987;Chur;Eingang;52285;4
2988;Sion;Ausgang;69980;7
2989;St. Gallen;Eingang;29654;9
2990;Bern;Ausgang;12049;2
2991;Zürich;Eingang;26871;2
2992;Basel;Ausgang;31157;4
2993;Lausanne;Eingang;61874;1
2994;Chur;Ausgang;54756;2
2995;Sion;Eingang;58407;5
2996;St. Gallen;Ausgang;70842;6
2997;Bern;Eingang;41256;1
2998;Zürich;Ausgang;58436;11
2999;Basel;Eingang;4335;8
3000;Lausanne;Ausgang;53199;7
3001;Chur;Eingang;17886;9
3002;Sion;Ausgang;21713;8
3003;St. Gallen;Eingang;28416;12
3004;Bern;Ausgang;67890;5
3005;Zürich;Eingang;12842;1
3006;Basel;Ausgang;23677;11
3007;Lausanne;Eingang;31278;9
3008;Chur;Ausgang;17965;2
3009;Sion;Eingang;9428;11
3010;St. Gallen;Ausgang;54705;12
3011;Bern;Eingang;67541;8
3012;Zürich;Ausgang;38827;1
3013;Basel;Eingang;64280;4
3014;Lausanne;Ausgang;27505;7
3015;Chur;Eingang;73788;3
3016;Sion;Ausgang;58072;2
3017;St. Gallen;Eingang;20934;5
3018;Bern;Ausgang;27280;11
3019;Zürich;Eingang;3727;1
3020;Basel;Ausgang;58347;11
3021;Lausanne;Eingang;50838;10
3022;Chur;Ausgang;34559;2
3023;Sion;Eingang;33935;1
3024;St. Gallen;Ausgang;77442;8
3025;Bern;Eingang;68756;2
3026;Zürich;Ausgang;3433;1
3027;Basel;Eingang;58225;3
3028;Lausanne;Ausgang;69848;9
3029;Chur;Eingang;33088;6
3030;Sion;Ausgang;40190;10
3031;St. Gallen;Eingang;60379;7
3032;Bern;Ausgang;5513;7
3033;Zürich;Eingang;64416;9
3034;Basel;Ausgang;22366;8
3035;Lausanne;Eingang;42281;4
3036;Chur;Ausgang;3840;6
3037;Sion;Eingang;25628;6
3038;St. Gallen;Ausgang;42403;2
3039;Bern;Eingang;39650;7
3040;Zürich;Ausgang;46128;12
3041;Basel;Eingang;23525;5
3042;Lausanne;Ausgang;7420;9
3043;Chur;Eingang;12999;5
3044;Sion;Ausgang;61097;7
3045;St. Gallen;Eingang;21157;4
3046;Bern;Ausgang;45017;2
3047;Zürich;Eingang;5473;4
3048;Basel;Ausgang;37213;10
3049;Lausanne;Eingang;57218;10
3050;Chur;Ausgang;59151;5
3051;Sion;Eingang;63844;7
3052;St. Gallen;Ausgang;56225;8
3053;Bern;Eingang;30468;5
3054;Zürich;Ausgang;32074;5
3055;Basel;Eingang;28484;3
3056;Lausanne;Ausgang;36041;3
3057;Chur;Eingang;37988;8
3058;Sion;Ausgang;68135;2
3059;St. Gallen;Eingang;30967;2
3060;Bern;Ausgang;18188;3
3061;Zürich;Eingang;10831;9
3062;Basel;Ausgang;70169;11
3063;Lausanne;Eingang;65430;10
3064;Chur;Ausgang;68058;7
3065;Sion;Eingang;73763;6
3066;St. Gallen;Ausgang;36120;11
3067;Bern;Eingang;40601;6
3068;Zürich;Ausgang;24063;4
3069;Basel;Eingang;22005;12
3070;Lausanne;Ausgang;66098;10
3071;Chur;Eingang;76911;5
3072;Sion;Ausgang;23130;8
3073;St. Gallen;Eingang;38385;9
3074;Bern;Ausgang;44299;2
3075;Zürich;Eingang;40575;8
3076;Basel;Ausgang;54566;4
3077;Lausanne;Eingang;19926;4
3078;Chur;Ausgang;9980;1
3079;Sion;Eingang;75103;1
3080;St. Gallen;Ausgang;38664;9
3081;Bern;Eingang;532;9
3082;Zürich;Ausgang;50987;2
3083;Basel;Eingang;57831;4
3084;Lausanne;Ausgang;75859;9
3085;Chur;Eingang;16247;2
3086;Sion;Ausgang;32925;9
3087;St. Gallen;Eingang;21469;1
3088;Bern;Ausgang;24322;7
3089;Zürich;Eingang;67341;10
3090;Basel;Ausgang;77026;2
3091;Lausanne;Eingang;27576;11
3092;Chur;Ausgang;39149;5
3093;Sion;Eingang;5313;2
3094;St. Gallen;Ausgang;72331;11
3095;Bern;Eingang;35114;10
3096;Zürich;Ausgang;31859;9
3097;Basel;Eingang;41490;2
3098;Lausanne;Ausgang;16401;3
3099;Chur;Eingang;39997;10
3100;Sion;Ausgang;54310;8
3101;St. Gallen;Eingang;34002;6
3102;Bern;Ausgang;55333;11
3103;Zürich;Eingang;7484;3
3104;Basel;Ausgang;42299;5
3105;Lausanne;Eingang;25903;1
3106;Chur;Ausgang;18144;1
3107;Sion;Eingang;67522;12
3108;St. Gallen;Ausgang;30359;3
3109;Bern;Eingang;60042;2
3110;Zürich;Ausgang;15167;11
3111;Basel;Eingang;49393;9
3112;Lausanne;Ausgang;53119;12
3113;Chur;Eingang;75194;9
3114;Sion;Ausgang;11897;7
3115;St. Gallen;Eingang;11087;1
3116;Bern;Ausgang;54309;2
3117;Zürich;Eingang;19839;1
3118;Basel;Ausgang;74703;1
3119;Lausanne;Eingang;2839;11
3120;Chur;Ausgang;9575;8
3121;Sion;Eingang;11004;12
3122;St. Gallen;Ausgang;11722;8
3123;Bern;Eingang;35305;9
3124;Zürich;Ausgang;60057;5
3125;Basel;Eingang;72977;1
3126;Lausanne;Ausgang;61145;2
3127;Chur;Eingang;7636;4
3128;Sion;Ausgang;65036;10
3129;St. Gallen;Eingang;2142;1
3130;Bern;Ausgang;35370;8
3131;Zürich;Eingang;25740;1
3132;Basel;Ausgang;68310;5
3133;Lausanne;Eingang;5889;5
3134;Chur;Ausgang;33279;6
3135;Sion;Eingang;51453;12
3136;St. Gallen;Ausgang;63876;9
3137;Bern;Eingang;2838;5
3138;Zürich;Ausgang;25976;5
3139;Basel;Eingang;4924;3
3140;Lausanne;Ausgang;9342;8
3141;Chur;Eingang;63034;2
3142;Sion;Ausgang;19850;2
3143;St. Gallen;Eingang;25254;7
3144;Bern;Ausgang;43677;10
3145;Zürich;Eingang;35395;6
3146;Basel;Ausgang;16763;1
3147;Lausanne;Eingang;26281;12
3148;Chur;Ausgang;35265;7
3149;Sion;Eingang;68684;4
3150;St. Gallen;Ausgang;69506;9
3151;Bern;Eingang;54237;3
3152;Zürich;Ausgang;1131;8
3153;Basel;Eingang;12890;5
3154;Lausanne;Ausgang;28564;2
3155;Chur;Eingang;49915;4
3156;Sion;Ausgang;18934;4
3157;St. Gallen;Eingang;23536;6
3158;Bern;Ausgang;46048;12
3159;Zürich;Eingang;20895;8
3160;Basel;Ausgang;67346;1
3161;Lausanne;Eingang;6223;4
3162;Chur;Ausgang;13034;1
3163;Sion;Eingang;75558;3
3164;St. Gallen;Ausgang;11955;10
3165;Bern;Eingang;52694;3
3166;Zürich;Ausgang;74720;12
3167;Basel;Eingang;25375;1
3168;Lausanne;Ausgang;122;2
3169;Chur;Eingang;40377;12
3170;Sion;Ausgang;5332;6
3171;St. Gallen;Eingang;7922;10
3172;Bern;Ausgang;71545;5
3173;Zürich;Eingang;21737;2
3174;Basel;Ausgang;7482;7
3175;Lausanne;Eingang;38401;10
3176;Chur;Ausgang;62977;8
3177;Sion;Eingang;31885;3
3178;St. Gallen;Ausgang;52616;5
3179;Bern;Eingang;21028;6
3180;Zürich;Ausgang;8476;7
3181;Basel;Eingang;30950;12
3182;Lausanne;Ausgang;4756;11
3183;Chur;Eingang;47985;10
3184;Sion;Ausgang;19329;8
3185;St. Gallen;Eingang;37403;6
3186;Bern;Ausgang;57950;3
3187;Zürich;Eingang;55264;12
3188;Basel;Ausgang;74454;9
3189;Lausanne;Eingang;37920;10
3190;Chur;Ausgang;45674;2
3191;Sion;Eingang;68699;6
3192;St. Gallen;Ausgang;62859;8
3193;Bern;Eingang;72089;1
3194;Zürich;Ausgang;2080;9
3195;Basel;Eingang;36561;4
3196;Lausanne;Ausgang;18546;12
3197;Chur;Eingang;17624;2
3198;Sion;Ausgang;75568;2
3199;St. Gallen;Eingang;56072;10
3200;Bern;Ausgang;56639;12
3201;Zürich;Eingang;53099;5
3202;Basel;Ausgang;20595;1
3203;Lausanne;Eingang;37953;10
3204;Chur;Ausgang;18261;3
3205;Sion;Eingang;6785;1
3206;St. Gallen;Ausgang;73713;12
3207;Bern;Eingang;17517;1
3208;Zürich;Ausgang;10526;9
3209;Basel;Eingang;73512;6
3210;Lausanne;Ausgang;3620;12
3211;Chur;Eingang;75135;3
3212;Sion;Ausgang;5197;5
3213;St. Gallen;Eingang;60535;2
3214;Bern;Ausgang;2202;10
3215;Zürich;Eingang;18089;1
3216;Basel;Ausgang;24866;5
3217;Lausanne;Eingang;39090;11
3218;Chur;Ausgang;54620;2
3219;Sion;Eingang;76987;6
3220;St. Gallen;Ausgang;52876;5
3221;Bern;Eingang;64277;9
3222;Zürich;Ausgang;60173;8
3223;Basel;Eingang;37602;6
3224;Lausanne;Ausgang;7149;5
3225;Chur;Eingang;14442;2
3226;Sion;Ausgang;74505;9
3227;St. Gallen;Eingang;20142;2
3228;Bern;Ausgang;68090;12
3229;Zürich;Eingang;40131;1
3230;Basel;Ausgang;59588;9
3231;Lausanne;Eingang;24236;9
3232;Chur;Ausgang;74440;4
3233;Sion;Eingang;72823;8
3234;St. Gallen;Ausgang;34060;1
3235;Bern;Eingang;24297;1
3236;Zürich;Ausgang;35760;10
3237;Basel;Eingang;8579;9
3238;Lausanne;Ausgang;22117;11
3239;Chur;Eingang;43408;11
3240;Sion;Ausgang;24580;11
3241;St. Gallen;Eingang;21780;3
3242;Bern;Ausgang;2828;2
3243;Zürich;Eingang;76083;12
3244;Basel;Ausgang;46409;2
3245;Lausanne;Eingang;60893;12
3246;Chur;Ausgang;75387;3
3247;Sion;Eingang;25967;4
3248;St. Gallen;Ausgang;68016;10
3249;Bern;Eingang;62197;11
3250;Zürich;Ausgang;26836;6
3251;Basel;Eingang;65217;6
3252;Lausanne;Ausgang;56154;10
3253;Chur;Eingang;49001;7
3254;Sion;Ausgang;22902;7
3255;St. Gallen;Eingang;61171;9
3256;Bern;Ausgang;10142;9
3257;Zürich;Eingang;3929;8
3258;Basel;Ausgang;74947;6
3259;Lausanne;Eingang;37247;7
3260;Chur;Ausgang;14978;3
3261;Sion;Eingang;24428;11
3262;St. Gallen;Ausgang;68066;5
3263;Bern;Eingang;76784;10
3264;Zürich;Ausgang;65030;7
3265;Basel;Eingang;8219;1
3266;Lausanne;Ausgang;34832;4
3267;Chur;Eingang;37525;5
3268;Sion;Ausgang;55866;11
3269;St. Gallen;Eingang;65792;10
3270;Bern;Ausgang;29029;2
3271;Zürich;Eingang;44210;10
3272;Basel;Ausgang;3041;8
3273;Lausanne;Eingang;11940;1
3274;Chur;Ausgang;67801;11
3275;Sion;Eingang;71842;7
3276;St. Gallen;Ausgang;60599;4
3277;Bern;Eingang;18248;4
3278;Zürich;Ausgang;18314;5
3279;Basel;Eingang;61988;2
3280;Lausanne;Ausgang;19908;7
3281;Chur;Eingang;47497;2
3282;Sion;Ausgang;489;12
3283;St. Gallen;Eingang;11441;5
3284;Bern;Ausgang;37204;5
3285;Zürich;Eingang;40531;9
3286;Basel;Ausgang;36126;12
3287;Lausanne;Eingang;54836;11
3288;Chur;Ausgang;73177;4
3289;Sion;Eingang;16860;3
3290;St. Gallen;Ausgang;64611;3
3291;Bern;Eingang;24376;5
3292;Zürich;Ausgang;14213;5
3293;Basel;Eingang;30056;2
3294;Lausanne;Ausgang;73415;3
3295;Chur;Eingang;20392;11
3296;Sion;Ausgang;48410;8
3297;St. Gallen;Eingang;64374;4
3298;Bern;Ausgang;1180;7
3299;Zürich;Eingang;47184;10
3300;Basel;Ausgang;20829;2
3301;Lausanne;Eingang;71344;4
3302;Chur;Ausgang;60074;8
3303;Sion;Eingang;59905;10
3304;St. Gallen;Ausgang;75032;1
3305;Bern;Eingang;30040;4
3306;Zürich;Ausgang;61952;10
3307;Basel;Eingang;59343;4
3308;Lausanne;Ausgang;26724;1
3309;Chur;Eingang;12984;7
3310;Sion;Ausgang;55584;11
3311;St. Gallen;Eingang;40524;12
3312;Bern;Ausgang;58282;6
3313;Zürich;Eingang;31325;1
3314;Basel;Ausgang;1989;7
3315;Lausanne;Eingang;37482;12
3316;Chur;Ausgang;76084;2
3317;Sion;Eingang;68195;4
3318;St. Gallen;Ausgang;54470;7
3319;Bern;Eingang;62770;10
